Item_Identifier,Item_Weight_Unique_Count,Item_Weight_Unique_Value,Item_FatContent_Unique_Count,Item_FatContent_Unique_Value,Item_Type_Unique_Count,Item_Type_Unique_Value
FDE57,1,"[9.6, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDE58,1,"[nan, 18.5]",2,"['Low Fat', 'LF']",1,['Snack Foods']
FDE59,1,[12.15],2,"['Low Fat', 'LF']",1,['Starchy Foods']
FDF02,1,[16.2],1,['Low Fat'],1,['Canned']
FDF04,1,"[nan, 17.5]",2,"['Low Fat', 'LF']",1,['Frozen Foods']
FDF05,1,"[17.5, nan]",1,['Low Fat'],1,['Frozen Foods']
FDF08,1,[14.3],1,['Regular'],1,['Fruits and Vegetables']
FDF09,1,"[nan, 6.215]",1,['Low Fat'],1,['Fruits and Vegetables']
FDF10,1,[15.5],2,"['reg', 'Regular']",1,['Snack Foods']
FDF11,1,[10.195],2,"['reg', 'Regular']",1,['Starchy Foods']
FDF12,1,"[8.235, nan]",1,['Low Fat'],1,['Baking Goods']
FDF14,1,[7.55],1,['Low Fat'],1,['Canned']
FDF16,1,"[nan, 7.3]",1,['Low Fat'],1,['Frozen Foods']
FDF17,1,[5.19],1,['Low Fat'],1,['Frozen Foods']
FDF20,1,"[12.85, nan]",2,"['Low Fat', 'low fat']",1,['Fruits and Vegetables']
FDF21,1,"[10.3, nan]",1,['Regular'],1,['Fruits and Vegetables']
FDF22,1,[6.865],1,['Low Fat'],1,['Snack Foods']
FDF24,1,"[nan, 15.5]",2,"['reg', 'Regular']",1,['Baking Goods']
FDF26,1,"[nan, 6.825]",1,['Regular'],1,['Canned']
FDF28,1,"[nan, 15.7]",1,['Regular'],1,['Frozen Foods']
FDF29,1,"[nan, 15.1]",1,['Regular'],1,['Frozen Foods']
FDF32,1,[16.35],1,['Low Fat'],1,['Fruits and Vegetables']
FDF33,1,"[nan, 7.97]",2,"['Low Fat', 'LF']",1,['Seafood']
FDF34,1,"[9.3, nan]",1,['Regular'],1,['Snack Foods']
FDF35,1,[15.0],1,['Low Fat'],1,['Starchy Foods']
FDF38,1,[11.8],1,['Regular'],1,['Canned']
FDF39,1,[14.85],1,['Regular'],1,['Dairy']
FDF40,1,"[nan, 20.25]",1,['Regular'],1,['Dairy']
FDF41,1,"[12.15, nan]",1,['Low Fat'],1,['Frozen Foods']
FDF44,1,"[nan, 7.17]",1,['Regular'],1,['Fruits and Vegetables']
FDF45,1,[18.2],2,"['reg', 'Regular']",1,['Fruits and Vegetables']
FDF46,1,"[nan, 7.07]",1,['Low Fat'],1,['Snack Foods']
FDF47,1,[20.85],1,['Low Fat'],1,['Starchy Foods']
FDF50,1,"[4.905, nan]",1,['Low Fat'],1,['Canned']
FDF52,1,"[9.3, nan]",2,"['Low Fat', 'LF']",1,['Frozen Foods']
FDF53,1,[20.75],2,"['reg', 'Regular']",1,['Frozen Foods']
FDF56,1,"[16.7, nan]",2,"['reg', 'Regular']",1,['Fruits and Vegetables']
FDF57,1,"[nan, 14.5]",2,"['reg', 'Regular']",1,['Fruits and Vegetables']
FDF58,1,"[nan, 13.3]",2,"['Low Fat', 'LF']",1,['Snack Foods']
FDF59,1,[12.5],2,"['Low Fat', 'LF']",1,['Starchy Foods']
FDG02,1,"[nan, 7.855]",1,['Low Fat'],1,['Canned']
FDG04,1,"[13.1, nan]",1,['Low Fat'],1,['Frozen Foods']
FDG05,1,"[nan, 11.0]",1,['Regular'],1,['Frozen Foods']
FDG08,1,"[nan, 13.15]",1,['Regular'],1,['Fruits and Vegetables']
FDG09,1,"[20.6, nan]",1,['Regular'],1,['Fruits and Vegetables']
FDG10,1,"[nan, 6.63]",1,['Regular'],1,['Snack Foods']
FDG12,1,"[nan, 6.635]",1,['Regular'],1,['Baking Goods']
FDG14,1,"[9.0, nan]",2,"['reg', 'Regular']",1,['Canned']
FDG16,1,"[nan, 15.25]",1,['Low Fat'],1,['Frozen Foods']
FDG17,1,"[nan, 6.865]",1,['Regular'],1,['Frozen Foods']
FDG20,1,[15.5],1,['Regular'],1,['Fruits and Vegetables']
FDG21,1,"[17.35, nan]",1,['Regular'],1,['Seafood']
FDG22,1,"[17.6, nan]",1,['Regular'],1,['Snack Foods']
FDG24,1,"[nan, 7.975]",2,"['Low Fat', 'LF']",1,['Baking Goods']
FDG26,1,[18.85],2,"['Low Fat', 'low fat']",1,['Canned']
FDG28,1,[9.285],1,['Regular'],1,['Frozen Foods']
FDG29,1,"[17.6, nan]",1,['Low Fat'],1,['Frozen Foods']
FDG31,1,"[12.15, nan]",1,['Low Fat'],1,['Meat']
FDG32,1,"[nan, 19.85, nan]",3,"['Low Fat', 'LF', 'low fat']",1,['Fruits and Vegetables']
FDG33,1,"[5.365, nan]",1,['Regular'],1,['Seafood']
FDG34,1,"[11.5, nan]",1,['Regular'],1,['Snack Foods']
FDG35,1,"[nan, nan, 21.2]",2,"['reg', 'Regular']",1,['Starchy Foods']
FDG38,1,"[8.975, nan]",1,['Regular'],1,['Canned']
FDG40,1,"[13.65, nan]",1,['Low Fat'],1,['Frozen Foods']
FDG41,1,[8.84],1,['Regular'],1,['Frozen Foods']
FDG44,1,"[nan, 6.13]",1,['Low Fat'],1,['Fruits and Vegetables']
FDG45,1,[8.1],1,['Low Fat'],1,['Fruits and Vegetables']
FDG46,1,"[8.63, nan]",1,['Regular'],1,['Snack Foods']
FDG47,1,[12.8],1,['Low Fat'],1,['Starchy Foods']
FDG50,1,[7.405],1,['Low Fat'],1,['Canned']
FDG52,1,"[nan, 13.65]",1,['Low Fat'],1,['Frozen Foods']
FDG53,1,[10.0],1,['Low Fat'],1,['Frozen Foods']
FDG56,1,"[nan, 13.3]",2,"['reg', 'Regular']",1,['Fruits and Vegetables']
FDG57,1,[14.7],1,['Low Fat'],1,['Fruits and Vegetables']
FDG58,1,[10.695],1,['Regular'],1,['Snack Foods']
FDG59,1,"[nan, 15.85]",1,['Low Fat'],1,['Starchy Foods']
FDG60,1,"[20.35, nan]",1,['Low Fat'],1,['Baking Goods']
FDH02,1,"[nan, 7.27]",1,['Regular'],1,['Canned']
FDH04,1,"[nan, 6.115]",1,['Regular'],1,['Frozen Foods']
FDH05,1,"[nan, 14.35]",2,"['reg', 'Regular']",1,['Frozen Foods']
FDH08,1,"[nan, 7.51]",1,['Low Fat'],1,['Fruits and Vegetables']
FDH09,1,"[nan, 12.6]",1,['Low Fat'],1,['Seafood']
FDH10,1,"[21.0, nan]",1,['Low Fat'],1,['Snack Foods']
FDH12,1,"[9.6, nan]",1,['Low Fat'],1,['Baking Goods']
FDH14,1,"[17.1, nan]",1,['Regular'],1,['Canned']
FDH16,1,"[nan, 10.5]",1,['Low Fat'],1,['Frozen Foods']
FDH17,1,"[16.2, nan]",1,['Regular'],1,['Frozen Foods']
FDH19,1,"[nan, 19.35]",1,['Low Fat'],1,['Meat']
FDH20,1,[16.1],1,['Regular'],1,['Fruits and Vegetables']
FDH21,1,"[10.395, nan]",2,"['Low Fat', 'LF']",1,['Seafood']
FDH22,1,[6.405],1,['Low Fat'],1,['Snack Foods']
FDH24,1,[20.7],1,['Low Fat'],1,['Baking Goods']
FDH26,1,"[19.25, nan]",2,"['reg', 'Regular']",1,['Canned']
FDH27,1,"[nan, 7.075]",1,['Low Fat'],1,['Dairy']
FDH28,1,"[nan, nan, 15.85]",2,"['reg', 'Regular']",1,['Frozen Foods']
FDH31,1,"[12.0, nan]",1,['Regular'],1,['Meat']
FDH32,1,"[nan, 12.8]",1,['Low Fat'],1,['Fruits and Vegetables']
FDH33,1,"[nan, 12.85, nan]",2,"['Low Fat', 'LF']",1,['Snack Foods']
FDH34,1,"[8.63, nan]",1,['Low Fat'],1,['Snack Foods']
FDH35,1,"[18.25, nan]",1,['Low Fat'],1,['Starchy Foods']
FDH38,1,"[6.425, nan]",1,['Low Fat'],1,['Canned']
FDH40,1,"[11.6, nan]",1,['Regular'],1,['Frozen Foods']
FDH41,1,"[9.0, nan, nan]",2,"['Low Fat', 'LF']",1,['Frozen Foods']
FDH44,1,[19.1],2,"['reg', 'Regular']",1,['Fruits and Vegetables']
FDH45,1,"[nan, 15.1]",2,"['reg', 'Regular']",1,['Fruits and Vegetables']
FDH46,1,[6.935],1,['Regular'],1,['Snack Foods']
FDH47,1,[13.5],2,"['reg', 'Regular']",1,['Starchy Foods']
FDH48,1,"[13.5, nan]",1,['Low Fat'],1,['Baking Goods']
FDH50,1,"[nan, 15.0]",1,['Regular'],1,['Canned']
FDH52,1,"[nan, 9.42]",1,['Regular'],1,['Frozen Foods']
FDH53,1,[20.5],1,['Regular'],1,['Frozen Foods']
FDH56,1,"[9.8, nan]",1,['Regular'],1,['Fruits and Vegetables']
FDH57,1,"[10.895, nan]",2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDH58,1,[12.3],2,"['Low Fat', 'low fat']",1,['Snack Foods']
FDH60,1,"[19.7, nan]",2,"['reg', 'Regular']",1,['Baking Goods']
FDI02,1,[15.7],1,['Regular'],1,['Canned']
FDI04,1,"[13.65, nan]",2,"['reg', 'Regular']",1,['Frozen Foods']
FDI05,1,[8.35],1,['Regular'],1,['Frozen Foods']
FDI07,1,"[12.35, nan]",2,"['reg', 'Regular']",1,['Meat']
FDI08,1,[18.2],2,"['reg', 'Regular']",1,['Fruits and Vegetables']
FDI09,1,[20.75],1,['Regular'],1,['Seafood']
FDI10,1,"[8.51, nan]",2,"['reg', 'Regular']",1,['Snack Foods']
FDI12,1,[9.395],1,['Regular'],1,['Baking Goods']
FDI14,1,"[nan, 14.1]",2,"['Low Fat', 'LF']",1,['Canned']
FDI15,1,"[13.8, nan]",1,['Low Fat'],1,['Dairy']
FDI16,1,"[nan, 14.0]",2,"['reg', 'Regular']",1,['Frozen Foods']
FDI19,1,"[nan, 15.1]",2,"['Low Fat', 'low fat']",1,['Meat']
FDI20,1,"[19.1, nan, nan]",2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDI21,1,"[nan, 5.59]",1,['Regular'],1,['Snack Foods']
FDI22,1,"[12.6, nan]",1,['Low Fat'],1,['Snack Foods']
FDI24,1,"[10.3, nan]",1,['Low Fat'],1,['Baking Goods']
FDI26,1,"[5.94, nan]",1,['Low Fat'],1,['Canned']
FDI27,1,"[8.71, nan]",1,['Regular'],1,['Dairy']
FDI28,1,"[14.3, nan]",1,['Low Fat'],1,['Frozen Foods']
FDI32,1,"[17.7, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDI33,1,"[16.5, nan]",1,['Low Fat'],1,['Snack Foods']
FDI34,1,[10.65],2,"['reg', 'Regular']",1,['Snack Foods']
FDI35,1,[14.0],1,['Low Fat'],1,['Starchy Foods']
FDI36,1,[12.5],1,['Regular'],1,['Baking Goods']
FDI38,1,[13.35],1,['Regular'],1,['Canned']
FDI40,1,[11.5],2,"['reg', 'Regular']",1,['Frozen Foods']
FDI41,1,"[18.5, nan]",2,"['reg', 'Regular']",1,['Frozen Foods']
FDI44,1,"[16.1, nan]",2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDI45,1,[13.1],2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDI46,1,"[9.5, nan]",1,['Low Fat'],1,['Snack Foods']
FDI48,1,[11.85],1,['Regular'],1,['Baking Goods']
FDI50,1,"[8.42, nan]",1,['Regular'],1,['Canned']
FDI52,1,[18.7],1,['Low Fat'],1,['Frozen Foods']
FDI53,1,[8.895],1,['Regular'],1,['Frozen Foods']
FDI56,1,"[nan, 7.325]",1,['Low Fat'],1,['Fruits and Vegetables']
FDI57,1,"[nan, 19.85]",1,['Low Fat'],1,['Seafood']
FDI58,1,[7.64],1,['Regular'],1,['Snack Foods']
FDI60,1,[7.22],1,['Regular'],1,['Baking Goods']
FDJ02,1,"[17.2, nan]",1,['Regular'],1,['Canned']
FDJ03,1,[12.35],1,['Regular'],1,['Dairy']
FDJ04,1,[18.0],1,['Low Fat'],1,['Frozen Foods']
FDJ07,1,"[nan, 7.26]",1,['Low Fat'],1,['Meat']
FDJ08,1,"[11.1, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDJ09,1,[15.0],2,"['Low Fat', 'low fat']",1,['Snack Foods']
FDJ10,1,"[nan, 5.095]",1,['Regular'],1,['Snack Foods']
FDJ12,1,[8.895],1,['Regular'],1,['Baking Goods']
FDJ14,1,"[nan, 10.3]",1,['Regular'],1,['Canned']
FDJ15,1,"[11.35, nan]",1,['Regular'],1,['Dairy']
FDJ16,1,[9.195],2,"['Low Fat', 'LF']",1,['Frozen Foods']
FDJ20,1,[20.7],1,['Regular'],1,['Fruits and Vegetables']
FDJ21,1,"[16.7, nan]",1,['Regular'],1,['Snack Foods']
FDJ22,1,"[18.75, nan]",2,"['Low Fat', 'low fat']",1,['Snack Foods']
FDJ26,1,"[nan, 15.3]",1,['Regular'],1,['Canned']
FDJ27,1,[17.7],1,['Regular'],1,['Meat']
FDJ28,1,"[nan, 12.3]",1,['Low Fat'],1,['Frozen Foods']
FDJ32,1,"[10.695, nan]",2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDJ33,1,"[8.895, nan]",1,['Regular'],1,['Snack Foods']
FDJ34,1,"[11.8, nan]",1,['Regular'],1,['Snack Foods']
FDJ36,1,"[nan, 14.5]",1,['Regular'],1,['Baking Goods']
FDJ38,1,[8.6],1,['Regular'],1,['Canned']
FDJ40,1,"[13.6, nan]",1,['Regular'],1,['Frozen Foods']
FDJ41,1,[6.85],2,"['Low Fat', 'LF']",1,['Frozen Foods']
FDJ44,1,"[12.3, nan]",1,['Regular'],1,['Fruits and Vegetables']
FDJ45,1,"[nan, 17.75]",3,"['Low Fat', 'LF', 'low fat']",1,['Seafood']
FDJ46,1,"[11.1, nan]",1,['Low Fat'],1,['Snack Foods']
FDJ48,1,"[11.3, nan]",2,"['Low Fat', 'LF']",1,['Baking Goods']
FDJ50,1,[8.645],1,['Low Fat'],1,['Canned']
FDJ52,1,[7.145],1,['Low Fat'],1,['Frozen Foods']
FDJ53,1,"[10.5, nan]",1,['Low Fat'],1,['Frozen Foods']
FDJ55,1,"[12.8, nan]",1,['Regular'],1,['Meat']
FDJ56,1,"[8.985, nan]",2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDJ57,1,"[nan, 7.42]",1,['Regular'],1,['Seafood']
FDJ58,1,"[nan, 15.6]",1,['Regular'],1,['Snack Foods']
FDJ60,1,[19.35],1,['Regular'],1,['Baking Goods']
FDK02,1,"[nan, 12.5]",1,['Low Fat'],1,['Canned']
FDK03,1,"[12.6, nan]",1,['Regular'],1,['Dairy']
FDK04,1,"[nan, 7.36]",1,['Low Fat'],1,['Frozen Foods']
FDK08,1,"[nan, 9.195]",1,['Regular'],1,['Fruits and Vegetables']
FDK09,1,"[nan, 15.2]",1,['Low Fat'],1,['Snack Foods']
FDK10,1,"[nan, 5.785]",1,['Regular'],1,['Snack Foods']
FDK14,1,[6.98],2,"['Low Fat', 'LF']",1,['Canned']
FDK15,1,"[10.8, nan]",1,['Low Fat'],1,['Meat']
FDK16,1,"[9.065, nan]",1,['Low Fat'],1,['Frozen Foods']
FDK20,1,"[nan, 12.6]",1,['Regular'],1,['Fruits and Vegetables']
FDK21,1,[7.905],1,['Low Fat'],1,['Snack Foods']
FDK22,1,"[9.8, nan]",1,['Low Fat'],1,['Snack Foods']
FDK24,1,"[9.195, nan]",1,['Low Fat'],1,['Baking Goods']
FDK25,1,"[nan, 11.6]",1,['Regular'],1,['Breakfast']
FDK26,1,"[nan, 5.46]",2,"['reg', 'Regular']",1,['Canned']
FDK27,1,"[nan, 11.0]",1,['Low Fat'],1,['Meat']
FDK28,1,"[nan, 5.695]",1,['Low Fat'],1,['Frozen Foods']
FDK32,1,"[16.25, nan]",1,['Regular'],1,['Fruits and Vegetables']
FDK33,1,"[17.85, nan]",1,['Low Fat'],1,['Snack Foods']
FDK34,1,"[nan, 13.35]",1,['Low Fat'],1,['Snack Foods']
FDK36,1,"[nan, 7.09]",2,"['Low Fat', 'LF']",1,['Baking Goods']
FDK38,1,"[nan, 6.65]",2,"['Low Fat', 'low fat']",1,['Canned']
FDK40,1,"[nan, 7.035]",2,"['Low Fat', 'LF']",1,['Frozen Foods']
FDK41,1,"[14.3, nan]",2,"['Low Fat', 'LF']",1,['Frozen Foods']
FDK43,1,"[9.8, nan]",1,['Low Fat'],1,['Meat']
FDK44,1,"[16.6, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDK45,1,"[11.65, nan]",2,"['Low Fat', 'LF']",1,['Seafood']
FDK46,1,[9.6],1,['Low Fat'],1,['Snack Foods']
FDK48,1,"[nan, 7.445]",2,"['Low Fat', 'low fat']",1,['Baking Goods']
FDK50,1,[7.96],1,['Low Fat'],1,['Canned']
FDK51,1,"[nan, 19.85]",1,['Low Fat'],1,['Dairy']
FDK52,1,"[18.25, nan]",2,"['Low Fat', 'LF']",1,['Frozen Foods']
FDK55,1,"[18.5, nan]",1,['Low Fat'],1,['Meat']
FDK56,1,[9.695],1,['Low Fat'],1,['Fruits and Vegetables']
FDK57,0,[nan],1,['Low Fat'],1,['Snack Foods']
FDK58,1,"[nan, 11.35]",1,['Regular'],1,['Snack Foods']
FDK60,1,[16.5],1,['Regular'],1,['Baking Goods']
FDL02,1,"[20.0, nan]",1,['Regular'],1,['Canned']
FDL03,1,"[19.25, nan]",1,['Regular'],1,['Meat']
FDL04,1,"[19.0, nan]",1,['Low Fat'],1,['Frozen Foods']
FDL08,1,"[10.8, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDL09,1,"[19.6, nan]",1,['Regular'],1,['Snack Foods']
FDL10,1,"[8.395, nan]",1,['Low Fat'],1,['Snack Foods']
FDL12,1,"[nan, 15.85]",1,['Regular'],1,['Baking Goods']
FDL13,1,"[nan, 13.85]",1,['Regular'],1,['Breakfast']
FDL14,1,[8.115],2,"['reg', 'Regular']",1,['Canned']
FDL15,1,"[17.85, nan]",1,['Low Fat'],1,['Meat']
FDL16,1,"[12.85, nan]",1,['Low Fat'],1,['Frozen Foods']
FDL20,1,"[17.1, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDL21,1,"[nan, 15.85]",1,['Regular'],1,['Snack Foods']
FDL22,1,"[16.85, nan]",2,"['Low Fat', 'low fat']",1,['Snack Foods']
FDL24,1,"[nan, 10.3]",1,['Regular'],1,['Baking Goods']
FDL25,1,[6.92],1,['Regular'],1,['Breakfast']
FDL26,1,"[18.0, nan]",1,['Low Fat'],1,['Canned']
FDL27,1,[6.17],1,['Low Fat'],1,['Meat']
FDL28,1,"[nan, 10.0]",1,['Regular'],1,['Frozen Foods']
FDL32,1,"[nan, 15.7]",1,['Regular'],1,['Fruits and Vegetables']
FDL33,1,"[nan, 7.235]",1,['Low Fat'],1,['Snack Foods']
FDL34,1,"[16.0, nan]",1,['Low Fat'],1,['Snack Foods']
FDL36,1,"[nan, 15.1]",1,['Low Fat'],1,['Baking Goods']
FDL38,1,"[13.8, nan]",2,"['reg', 'Regular']",1,['Canned']
FDL39,1,"[16.1, nan]",1,['Regular'],1,['Dairy']
FDL40,1,"[17.7, nan]",1,['Low Fat'],1,['Frozen Foods']
FDL43,1,"[nan, 10.1]",1,['Low Fat'],1,['Meat']
FDL44,1,"[18.25, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDL45,1,"[nan, 15.6]",1,['Low Fat'],1,['Snack Foods']
FDL46,1,"[nan, 20.35]",2,"['Low Fat', 'low fat']",1,['Snack Foods']
FDL48,1,"[19.35, nan]",2,"['reg', 'Regular']",1,['Baking Goods']
FDL50,1,[12.15],1,['Regular'],1,['Canned']
FDL51,1,[20.7],1,['Regular'],1,['Dairy']
FDL52,1,"[nan, 6.635]",2,"['reg', 'Regular']",1,['Frozen Foods']
FDL56,1,"[nan, 14.1]",1,['Low Fat'],1,['Fruits and Vegetables']
FDL57,1,"[nan, 15.1]",1,['Regular'],1,['Snack Foods']
FDL58,1,[5.78],1,['Regular'],1,['Snack Foods']
FDM01,1,"[nan, 7.895]",2,"['reg', 'Regular']",1,['Breakfast']
FDM02,1,[12.5],1,['Regular'],1,['Canned']
FDM03,1,"[12.65, nan]",1,['Low Fat'],1,['Meat']
FDM04,1,[9.195],1,['Regular'],1,['Frozen Foods']
FDM08,1,[10.1],2,"['reg', 'Regular']",1,['Fruits and Vegetables']
FDM09,1,[11.15],1,['Regular'],1,['Snack Foods']
FDM10,1,"[18.25, nan]",1,['Low Fat'],1,['Snack Foods']
FDM12,1,[16.7],2,"['reg', 'Regular']",1,['Baking Goods']
FDM13,1,[6.425],1,['Low Fat'],1,['Breakfast']
FDM14,1,"[13.8, nan]",1,['Low Fat'],1,['Canned']
FDM15,1,"[nan, 11.8]",2,"['reg', 'Regular']",1,['Meat']
FDM16,1,[8.155],1,['Regular'],1,['Frozen Foods']
FDM20,1,"[nan, 10.0]",2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDM21,1,"[20.2, nan]",2,"['Low Fat', 'LF']",1,['Snack Foods']
FDM22,1,"[14.0, nan]",1,['Regular'],1,['Snack Foods']
FDM24,1,"[nan, 6.135]",1,['Regular'],1,['Baking Goods']
FDM25,1,"[10.695, nan]",1,['Regular'],1,['Breakfast']
FDM27,1,"[12.35, nan]",1,['Regular'],1,['Meat']
FDM28,1,"[nan, 15.7]",1,['Low Fat'],1,['Frozen Foods']
FDM32,1,[20.5],1,['Low Fat'],1,['Fruits and Vegetables']
FDM33,1,[15.6],1,['Low Fat'],1,['Snack Foods']
FDM34,1,"[nan, 19.0]",1,['Low Fat'],1,['Snack Foods']
FDM36,1,"[11.65, nan]",1,['Regular'],1,['Baking Goods']
FDM38,1,[5.885],1,['Regular'],1,['Canned']
FDM39,1,"[nan, 6.42]",3,"['Low Fat', 'LF', 'low fat']",1,['Dairy']
FDM40,1,[10.195],1,['Low Fat'],1,['Frozen Foods']
FDM44,1,"[nan, 12.5]",3,"['Low Fat', 'LF', 'low fat']",1,['Fruits and Vegetables']
FDM45,1,[8.655],1,['Regular'],1,['Snack Foods']
FDM46,1,"[nan, 7.365]",1,['Low Fat'],1,['Snack Foods']
FDM50,1,"[nan, 13.0]",1,['Regular'],1,['Canned']
FDM51,1,[11.8],1,['Regular'],1,['Meat']
FDM52,1,[15.1],1,['Low Fat'],1,['Frozen Foods']
FDM56,1,"[16.7, nan, nan]",2,"['Low Fat', 'low fat']",1,['Fruits and Vegetables']
FDM57,1,[11.65],1,['Regular'],1,['Snack Foods']
FDM58,1,"[16.85, nan]",2,"['reg', 'Regular']",1,['Snack Foods']
FDM60,1,[10.8],1,['Regular'],1,['Baking Goods']
FDN01,1,"[8.895, nan]",2,"['Low Fat', 'LF']",1,['Breakfast']
FDN02,1,"[16.5, nan]",1,['Low Fat'],1,['Canned']
FDN03,1,"[9.8, nan]",1,['Regular'],1,['Meat']
FDN04,1,"[11.8, nan]",2,"['reg', 'Regular']",1,['Frozen Foods']
FDN08,1,"[nan, 7.72]",1,['Regular'],1,['Fruits and Vegetables']
FDN09,1,"[14.15, nan]",3,"['Low Fat', 'LF', 'low fat']",1,['Snack Foods']
FDN10,1,"[11.5, nan]",1,['Low Fat'],1,['Snack Foods']
FDN12,1,"[nan, 15.6]",2,"['Low Fat', 'LF']",1,['Baking Goods']
FDN13,1,"[18.6, nan]",2,"['Low Fat', 'LF']",1,['Breakfast']
FDN15,1,"[17.5, nan]",1,['Low Fat'],1,['Meat']
FDN16,1,[12.6],1,['Regular'],1,['Frozen Foods']
FDN20,1,"[19.35, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDN21,1,"[nan, 18.6, nan]",2,"['Low Fat', 'LF']",1,['Snack Foods']
FDN22,1,[18.85],1,['Regular'],1,['Snack Foods']
FDN23,1,"[nan, 6.575]",1,['Regular'],1,['Breads']
FDN24,1,"[nan, 14.1, nan]",3,"['Low Fat', 'LF', 'low fat']",1,['Baking Goods']
FDN25,1,"[nan, 7.895]",1,['Regular'],1,['Breakfast']
FDN27,1,"[nan, 20.85]",1,['Low Fat'],1,['Meat']
FDN28,1,[5.88],1,['Regular'],1,['Frozen Foods']
FDN31,1,[11.5],1,['Low Fat'],1,['Fruits and Vegetables']
FDN32,1,"[17.5, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDN33,1,"[6.305, nan]",1,['Regular'],1,['Snack Foods']
FDN34,1,"[nan, 15.6]",1,['Regular'],1,['Snack Foods']
FDN38,1,"[6.615, nan]",1,['Regular'],1,['Canned']
FDN39,1,"[19.35, nan]",1,['Regular'],1,['Meat']
FDN40,1,[5.88],1,['Low Fat'],1,['Frozen Foods']
FDN44,1,"[nan, 13.15]",2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDN45,1,"[19.35, nan]",1,['Low Fat'],1,['Snack Foods']
FDN46,1,[7.21],1,['Regular'],1,['Snack Foods']
FDN48,1,"[nan, 13.35]",1,['Low Fat'],1,['Baking Goods']
FDN49,1,[17.25],1,['Regular'],1,['Breakfast']
FDN50,1,"[16.85, nan]",2,"['reg', 'Regular']",1,['Canned']
FDN51,1,[17.85],2,"['reg', 'Regular']",1,['Meat']
FDN52,0,[nan],1,['Regular'],1,['Frozen Foods']
FDN56,1,"[nan, 5.46]",1,['Regular'],1,['Fruits and Vegetables']
FDN57,1,"[18.25, nan]",1,['Low Fat'],1,['Snack Foods']
FDN58,1,"[13.8, nan]",2,"['reg', 'Regular']",1,['Snack Foods']
FDN60,1,"[nan, 15.1]",1,['Low Fat'],1,['Baking Goods']
FDO01,1,"[21.1, nan]",1,['Regular'],1,['Breakfast']
FDO03,1,"[10.395, nan]",1,['Regular'],1,['Meat']
FDO04,1,"[16.6, nan]",1,['Low Fat'],1,['Frozen Foods']
FDO08,1,"[11.1, nan]",1,['Regular'],1,['Fruits and Vegetables']
FDO09,1,"[nan, 13.5]",1,['Regular'],1,['Snack Foods']
FDO10,1,"[nan, 13.65]",2,"['reg', 'Regular']",1,['Snack Foods']
FDO11,1,"[8.0, nan]",1,['Regular'],1,['Breads']
FDO12,1,[15.75],1,['Low Fat'],1,['Baking Goods']
FDO13,1,"[nan, 7.865]",1,['Low Fat'],1,['Breakfast']
FDO15,1,"[16.75, nan]",1,['Regular'],1,['Meat']
FDO16,1,[5.48],1,['Low Fat'],1,['Frozen Foods']
FDO19,1,"[17.7, nan]",1,['Regular'],1,['Fruits and Vegetables']
FDO20,1,[12.85],1,['Regular'],1,['Fruits and Vegetables']
FDO21,1,[11.6],1,['Regular'],1,['Snack Foods']
FDO22,1,[13.5],2,"['reg', 'Regular']",1,['Snack Foods']
FDO23,1,"[17.85, nan]",1,['Low Fat'],1,['Breads']
FDO24,1,"[nan, 11.1]",2,"['Low Fat', 'low fat']",1,['Baking Goods']
FDO25,1,"[nan, 6.3]",1,['Low Fat'],1,['Canned']
FDO27,1,"[nan, 6.175]",1,['Regular'],1,['Meat']
FDO28,1,"[5.765, nan]",1,['Low Fat'],1,['Frozen Foods']
FDO31,1,"[nan, 6.76]",2,"['reg', 'Regular']",1,['Fruits and Vegetables']
FDO32,1,"[nan, 6.36]",1,['Low Fat'],1,['Fruits and Vegetables']
FDO33,1,[14.75],1,['Low Fat'],1,['Snack Foods']
FDO34,1,"[17.7, nan]",1,['Low Fat'],1,['Snack Foods']
FDO36,1,"[nan, 19.7]",1,['Low Fat'],1,['Baking Goods']
FDO37,1,"[8.06, nan]",1,['Low Fat'],1,['Breakfast']
FDO38,1,"[nan, 17.25]",2,"['Low Fat', 'low fat']",1,['Canned']
FDO39,1,"[nan, 6.985]",1,['Regular'],1,['Meat']
FDO40,1,"[nan, 17.1]",2,"['Low Fat', 'LF']",1,['Frozen Foods']
